Title,Author,Book Subcategory,NYT Ranking,Amz Star ratings,Total_num_of_rating,Amazon Price,ISBN,Publisher,NYT Pub Date,Amazon Product ID
SAY YOU WANT ME,Corinne Michaels,E-Book Fiction,15,4.7,1757.0,0.0,9781942834205,EverAfter,2016-11-27,B01M4S2AJK
LEOPARD'S FURY,Christine Feehan,E-Book Fiction,5,4.8,1026.0,8.99,9780698406216,Jove,2016-11-27,B01BK0SPU0
THE LOST GIRLS,Allison Brennan,E-Book Fiction,14,4.6,343.0,8.99,9781250105103,St. Martin's,2016-11-20,B01E3PS8S8
SHADOW OF VICTORY,David Weber,E-Book Fiction,13,3.4,1323.0,6.99,9781625795465,Baen Books,2016-11-20,B01MCVUHBO
MR. PRESIDENT,Katy Evans,E-Book Fiction,12,4.6,763.0,4.99,9780997263633,KT Publishing,2016-11-20,B01LY39XCK
VINCE FLYNN: ORDER TO KILL,Kyle Mills,E-Book Fiction,10,4.6,4726.0,12.99,9781476783505,Emily Bestler/Atria,2016-11-20,B01CO34K8I
ESCAPE CLAUSE,John Sandford,E-Book Fiction,9,4.6,4579.0,9.99,9780698152670,Putnam,2016-11-20,B01BD1SSA8
NOT DEAD YET,Phil Collins,E-Book Nonfiction,15,4.6,2219.0,0.0,9781101907498,Crown Archetype,2016-11-20,B01JYEUQWO
ARCHANGEL'S HEART,Nalini Singh,E-Book Fiction,6,4.7,1033.0,7.99,9780451488015,Berkley,2016-11-20,B01E4WAGLM
THE AWARD,Danielle Steel,E-Book Fiction,5,4.7,1867.0,8.99,9781101883860,Delacorte,2016-11-20,B01BJSRSF6
SHAKEN,Tim Tebow,E-Book Nonfiction,14,4.8,2903.0,10.01,9780735289871,Waterbrook,2016-11-20,0735289883
CLINTON CASH,Peter Schweizer,E-Book Nonfiction,12,4.7,3012.0,14.99,9780062659439,Harper/HarperCollins,2016-11-20,0062369296
DONOVAN,William Stephenson and Richard Dunlop,E-Book Nonfiction,7,4.6,231.0,14.95,9781628738988,Skyhorse,2016-11-20,1626365393
SISTERS IN LAW,Linda Hirshman,E-Book Nonfiction,6,4.3,619.0,14.49,9780062238481,Harper,2016-11-20,0062238477
GUILTY AS SIN,Edward Klein,E-Book Nonfiction,4,4.7,1090.0,2.48,9781621576426,Regnery,2016-11-20,1621576418
"SEX, LIES  AND SERIOUS MONEY",Stuart Woods,E-Book Fiction,2,4.0,1449.0,9.99,9780399573965,Putnam,2016-11-13,B01BS7N84S
THE BLOOD MIRROR,Brent Weeks,E-Book Fiction,5,4.6,2731.0,0.0,9780316251310,Orbit,2016-11-13,B01K8S3XJ8
THE SELLOUT,Paul Beatty,E-Book Fiction,9,4.1,2711.0,10.99,9780374712242,"Farrar, Straus & Giroux",2016-11-13,B00MLN1TT0
SUBMISSION IS NOT ENOUGH,Lexi Blake,E-Book Fiction,7,4.7,509.0,4.99,9781937608538,DLZ Entertainment,2016-11-13,B01JAJPP6A
THE FLEET AT FLOOD TIDE,James Hornfischer,E-Book Nonfiction,9,4.7,1104.0,9.99,9780345548719,Bantam,2016-11-13,B01BJSJMHI
GUNSLINGER,Jeff Pearlman,E-Book Nonfiction,13,4.6,503.0,0.0,9780544453678,Houghton Mifflin Harcourt,2016-11-13,B01LZ32HD8
A LITTLE THING CALLED LIFE,Linda Thompson,E-Book Nonfiction,14,4.5,1293.0,0.0,9780062469762,Dey Street/Morrow,2016-11-13,B01I28A3SK
A LOWCOUNTRY HEART,Pat Conroy,E-Book Nonfiction,15,4.7,468.0,15.81,9780385530873,Nan A. Talese,2016-11-13,0385530862
FAMILY TREE,Susan Wiggs,E-Book Fiction,10,4.6,1361.0,11.42,9780062425478,Morrow/HarperCollins,2016-11-13,0062425447
NIGHT WATCH,Iris Johansen and Roy Johansen,E-Book Fiction,11,4.7,596.0,9.99,9781466887336,St. Martin's,2016-11-13,B01DSWKABU
MARRIAGE GAMES,C D Reiss,E-Book Fiction,14,4.5,894.0,5.99,9781942833284,Flip City Media,2016-11-13,B01MPZTV5A
LUKE,Barbara Freethy,E-Book Fiction,15,4.4,327.0,0.0,9781943781249,Fog City,2016-11-13,B01LOV6IPY
ROYALLY SCREWED,Emma Chase,E-Book Fiction,8,4.4,1638.0,0.0,9780997426229,Emma Chase,2016-11-06,B01M1A1GC2
MISSING,James Patterson and Kathryn Fox,E-Book Fiction,15,4.4,1543.0,9.99,9781455568130,Grand Central,2016-11-06,B01BU1IUPE
STING,Sandra Brown,E-Book Fiction,13,4.5,2427.0,8.99,9781455581238,Grand Central,2016-11-06,B01FQLZSPY
COMMONWEALTH,Ann Patchett,E-Book Fiction,12,4.0,4826.0,10.13,9780062491817,Harper/HarperCollins,2016-11-06,0062491830
THE TRUTH ACCORDING TO US,Annie Barrows,E-Book Fiction,10,4.2,1021.0,0.0,9780812997842,Dial,2016-11-06,0812997840
HOME,Harlan Coben,E-Book Fiction,9,4.6,6192.0,9.99,9780698411449,Dutton,2016-11-06,B01COJUGOE
THE OBSIDIAN CHAMBER,Douglas Preston and Lincoln Child,E-Book Fiction,2,4.5,2770.0,9.99,9781455536900,Grand Central,2016-11-06,B01FD96JIE
TRUEVINE,Beth Macy,E-Book Nonfiction,15,4.3,322.0,11.99,9780316337564,"Little, Brown",2016-11-06,B01BKSLGHG
HERO OF THE EMPIRE,Candice Millard,E-Book Nonfiction,14,4.7,1502.0,14.99,9780385535748,Doubleday,2016-11-06,0307948781
THEY'RE PLAYING OUR SONG,Carole Bayer Sager,E-Book Nonfiction,13,4.5,374.0,0.0,9781501153280,Simon & Schuster,2016-11-06,B01LZC9W2T
BETTER THAN NEW,Nicole Curtis,E-Book Nonfiction,12,4.7,690.0,9.35,9781579657314,Artisan,2016-11-06,1579656676
HUNGRY HEART,Jennifer Weiner,E-Book Nonfiction,11,4.4,422.0,13.99,9781476723440,Atria,2016-11-06,B00A25FA3K
BUFFERING,Hannah Hart,E-Book Nonfiction,8,4.8,582.0,0.0,9780062457530,Dey Street/Morrow,2016-11-06,B01J221CIU
THE TRESPASSER,Tana French,E-Book Fiction,14,4.6,532.0,0.0,9780735221093,Viking,2016-11-06,B08X6P8DH7
THE PLAYER,Claire Contreras,E-Book Fiction,15,4.5,710.0,0.0,9781682307168,Claire Contreras,2016-10-30,B08FFVRR8D
PRECIOUS AND GRACE,Alexander McCall Smith,E-Book Fiction,14,4.7,1783.0,9.99,9781101871362,Pantheon,2016-10-30,B01AQO0IJM
BETWEEN BREATHS,Elizabeth Vargas,E-Book Nonfiction,15,4.6,1398.0,0.0,9781455559640,Grand Central,2016-10-30,B01K8OSWKW
I AM BRIAN WILSON,Brian Wilson and Ben Greenman,E-Book Nonfiction,14,4.5,766.0,0.0,9780306823077,Da Capo,2016-10-30,B01IWDWL62
A TORCH KEPT LIT,William F Buckley Jr,E-Book Nonfiction,12,4.6,513.0,0.0,9781101906224,Crown Forum,2016-10-30,B01LY91A3T
A LIFE IN PARTS,Bryan Cranston,E-Book Nonfiction,10,4.7,1572.0,0.0,9781476793887,Scribner,2016-10-30,B01F7MT78Q
IN MY OWN WORDS ... MY REAL REALITY,Toya Wright,E-Book Nonfiction,8,4.3,18.0,23.43,9780997217834,Toya Wright,2016-10-30,163758167X
GOING DOWN FAST,Carly Phillips,E-Book Fiction,7,4.3,1308.0,4.99,9781942288091,CP Publishing,2016-10-30,B01IILS7MU
CRIMSON DEATH,Laurell K Hamilton,E-Book Fiction,4,4.4,2827.0,0.0,9781101987759,Berkley,2016-10-30,B01KBM0YPM
SUGAR FREE,Sawyer Bennett,E-Book Fiction,12,4.5,321.0,7.99,9781101968147,Loveswept,2016-10-30,B01AQO16PW
BEAUTIFUL,Christina Lauren,E-Book Fiction,7,4.6,816.0,8.99,9781501128004,Gallery Books,2016-10-23,B01CO349PW
TWELVE DAYS OF CHRISTMAS,Debbie Macomber,E-Book Fiction,6,4.6,1823.0,4.99,9780553391749,Ballantine,2016-10-23,B01AERZQLQ
FOUR LETTER WORD,J Daniels,E-Book Fiction,15,4.4,794.0,5.99,9781455566082,Forever,2016-10-23,B01BKSLGW6
TODAY WILL BE DIFFERENT,Maria Semple,E-Book Fiction,10,3.4,1138.0,11.99,9780316403443,"Little, Brown",2016-10-23,B01A5VQUKM
DOWN SHIFT,K Bromberg,E-Book Fiction,12,4.8,843.0,7.99,9781101991770,Signet,2016-10-23,B01ASO6JGQ
COMETH THE HOUR,Jeffrey Archer,E-Book Fiction,14,4.5,7140.0,9.99,9781466867505,St. Martin's,2016-10-23,B00YWZU0MC
BROKEN TRUST,WEB Griffin and William E Butterworth,E-Book Fiction,11,4.4,790.0,9.99,9780698164598,Putnam,2016-10-23,B01BD1SSL2
WINTER STORMS,Elin Hilderbrand,E-Book Fiction,8,4.6,3508.0,7.99,9780316261159,"Little, Brown",2016-10-23,B01BKSLGLW
DISRUPTED,Dan Lyons,E-Book Nonfiction,9,4.4,1371.0,0.0,9780316306072,Hachette Books,2016-10-23,B01DDV6SYY
WAITING TO BE HEARD,Amanda Knox,E-Book Nonfiction,7,4.5,1600.0,0.0,9780062217226,Harper,2016-10-23,B00C0Y1742
THE GOAL,Elle Kennedy,E-Book Fiction,4,4.5,4902.0,4.99,9780994054432,Elle Kennedy,2016-10-16,B01FTC8I84
WOMAN OF GOD,James Patterson and Maxine Paetro,E-Book Fiction,5,4.4,1566.0,1.99,9780316317542,"Little, Brown",2016-10-16,B01C37XEXC
THE SILENT SISTER,Diane Chamberlain,E-Book Fiction,6,4.4,5256.0,0.0,9781250010728,St. Martin's,2016-10-16,B00NP9394C
SNOWFALL ON HAVEN POINT,RaeAnne Thayne,E-Book Fiction,7,4.7,682.0,6.99,9781459294943,HQN,2016-10-16,B01EF30ZU2
SEX MACHINE,Marie Force,E-Book Fiction,8,4.6,576.0,0.0,9781942295839,HTJB,2016-10-16,B01LXYXYFP
THE LIFE SHE WANTS,Ron Carr,E-Book Fiction,10,4.6,1083.0,8.99,9781460395950,Mira,2016-10-16,B01BSFBUZY
DO YOU WANT TO START A SCANDAL,Tessa Dare,E-Book Fiction,11,4.5,1110.0,8.99,9780062349057,Avon,2016-10-16,B01A5BWG9Q
DARKEST JOURNEY,Heather Graham,E-Book Fiction,13,4.6,437.0,6.99,9781460395929,Mira,2016-10-16,B01BSEZLX2
CHRISTMAS CARAMEL MURDER,Joanne Fluke,E-Book Fiction,14,4.4,1479.0,6.99,9781617732294,Kensington,2016-10-16,B01A4APJII
THE TROUBLE WITH MISTLETOE,Jill Shalvis,E-Book Fiction,15,4.4,588.0,7.99,9780062448057,Avon,2016-10-16,B01A5CEK3A
HITLER: ASCENT 1889-1939,Volker Ullrich,E-Book Nonfiction,6,4.7,533.0,20.05,9780385354394,Knopf,2016-10-16,1101872055
LUST AND WONDER,Augusten Burroughs,E-Book Nonfiction,10,4.5,747.0,9.19,9781250082367,St. Martin's,2016-10-16,0312424825
THE QUANTUM RULES,Kunal K Das,E-Book Nonfiction,12,4.0,123.0,16.99,9781510703186,Skyhorse,2016-10-16,1632204592
WHEN NOBODY WAS WATCHING,Carli Lloyd with Wayne Coffey,E-Book Nonfiction,15,4.8,422.0,12.18,9780544814554,Houghton Mifflin Harcourt,2016-10-16,1328745627
MAGIC BINDS,Ilona Andrews,E-Book Fiction,3,4.8,2509.0,8.99,9780698136786,Ace,2016-10-09,B01AHKXIB0
THE KEPT WOMAN,Karin Slaughter,E-Book Fiction,4,4.6,4774.0,0.0,9780062430236,Morrow/HarperCollins,2016-10-09,B01K071H6I
IMMORTAL NIGHTS,Lynsay Sands,E-Book Fiction,5,4.7,993.0,7.99,9780062316073,Avon,2016-10-09,B01A5BWF74
THE BONESETTER'S DAUGHTER,Amy Tan,E-Book Fiction,6,4.5,1408.0,12.99,9781101202951,Putnam,2016-10-09,0345457374
PLAYBOY PILOT,Penelope Ward and Vi Keeland,E-Book Fiction,8,4.6,1646.0,0.0,9781942215493,Vi Keeland,2016-10-09,B01LXKF3TR
THE LIGHT BETWEEN OCEANS,M L Stedman,E-Book Fiction,9,4.5,21686.0,11.06,9781451681765,Scribner,2016-10-09,1451681755
APPRENTICE IN DEATH,J D Robb,E-Book Fiction,10,4.8,5223.0,7.99,9781101987988,Berkley,2016-10-09,B019DHP654
BEST. STATE. EVER,Dave Barry,E-Book Nonfiction,15,4.5,839.0,12.99,9781101982624,Putnam,2016-10-09,B01BS7N74E
SULLY,Chesley B Sullenberger III with Jeffrey Zaslow,E-Book Nonfiction,14,4.7,1138.0,0.0,9780062643148,Morrow,2016-10-09,B01HGYXT3M
UNHOLY ALLIANCE,Jay Sekulow,E-Book Nonfiction,11,4.6,402.0,0.0,9781501141034,Howard,2016-10-09,B01KBDQ7EI
BELIEVING IN MAGIC,Cookie Johnson with Denene Millner,E-Book Nonfiction,10,4.6,387.0,0.0,9781501125188,Howard Books,2016-10-09,B01KGL9LZ2
BASED ON A TRUE STORY,Norm Macdonald,E-Book Nonfiction,8,4.5,2252.0,0.0,9780812993639,Spiegel & Grau,2016-10-09,B01L0GDSHY
THE WOMAN IN CABIN 10,Ruth Ware,E-Book Fiction,15,4.2,11371.0,12.99,9781501132940,Scout,2016-10-09,B019DKO5BM
THRICE THE BRINDED CAT HATH MEW'D,Alan Bradley,E-Book Fiction,14,4.5,668.0,4.99,9780345539984,Delacorte,2016-10-09,B01BAU2KSI
CHANDLER,Laurelin Paige,E-Book Fiction,12,4.4,649.0,0.0,9781942835035,Paige Press,2016-10-09,B01LZRKEXS
IN SUCH GOOD COMPANY,Carol Burnett,E-Book Nonfiction,6,4.6,975.0,0.0,9781101904664,Crown/Archetype,2016-10-02,B01JKBTZBY
FORWARD,Ab Wambach,E-Book Nonfiction,8,4.6,836.0,0.0,9780062467010,Dey Street/ Morrow,2016-10-02,B01GONYE08
NUTSHELL,Ian McEwan,E-Book Fiction,13,4.1,1881.0,12.15,9780385542081,Nan A. Talese,2016-10-02,0525431942
RAZOR GIRL,Carl Hiaasen,E-Book Fiction,10,4.4,3198.0,9.99,9780385349758,Knopf,2016-10-02,B019B6TVUI
ROBERT B. PARKER'S DEBT TO PAY,Reed Farrel Coleman,E-Book Fiction,8,4.3,1556.0,9.99,9780698166608,Putnam,2016-10-02,B01BS7N744
AN OBVIOUS FACT,Craig Johnson,E-Book Fiction,5,4.7,2596.0,11.99,9780698157521,Viking,2016-10-02,B017SCQLEG
GOOD VIBRATIONS,Mike Love,E-Book Nonfiction,10,4.5,623.0,0.0,9780698408869,Blue Rider,2016-10-02,B01K3II1KE
SCORCHED EARTH,Michael Savage,E-Book Nonfiction,7,4.7,949.0,0.0,9781455568239,Center Street,2016-10-02,B01L2KC4DC
PIRATE,Clive Cussler and Robin Burcell,E-Book Fiction,3,4.6,2074.0,0.0,9780399183997,Putnam,2016-10-02,B01INZNCJY
I'M JUDGING YOU,Luvvie Ajayi,E-Book Nonfiction,11,4.5,2148.0,0.25,9781627796071,Holt,2016-10-02,1627796061
THIS TIME TOGETHER,Carol Burnett,E-Book Nonfiction,12,4.7,2212.0,0.0,9780307461209,Crown Archetype,2016-10-02,B003FOOGB2
"MY NEW ORLEANS, GONE AWAY",Peter M Wolf,E-Book Nonfiction,13,4.1,84.0,13.38,9781480413474,Delphinium,2016-10-02,1883285623
PEREGRINE SPRING,Nancy Cowan,E-Book Nonfiction,13,4.9,125.0,24.95,9781493018376,Lyons,2016-09-25,1493029975
DOWNFALL,J A Jance,E-Book Fiction,2,4.7,1384.0,6.99,9780062297730,Morrow/HarperCollins,2016-09-25,B017R4JVOC
IT'S NOT OKAY,Andi Dorfman,E-Book Nonfiction,6,3.7,1239.0,0.0,9781501132476,Gallery Books,2016-09-25,B01CUOXP1Y
THE PIGEON TUNNEL,John le Carré,E-Book Nonfiction,9,4.5,1331.0,12.99,9780735220799,Viking,2016-09-25,B01D9H1RXO
THE RED BANDANNA,Tom Rinaldi,E-Book Nonfiction,10,4.7,744.0,17.0,9780698407480,Penguin Press,2016-09-25,0143130072
"CARRY ON, WARRIOR",Glennon Doyle Melton,E-Book Nonfiction,14,4.7,3144.0,0.0,9781451698237,Scribner,2016-09-25,B00BL44W0S
I LET YOU GO,Clare Mackintosh,E-Book Fiction,6,4.3,6472.0,8.99,9781101987513,Berkley,2016-09-25,0451490525
DEPRAVED HEART,Patricia Cornwell,E-Book Fiction,8,3.9,5464.0,9.99,9780062325426,Morrow/HarperCollins,2016-09-25,B00SRXKTBC
113 MINUTES,James Patterson with Max DiLallo,E-Book Fiction,10,4.5,735.0,4.99,9780316361521,BookShots,2016-09-25,0316317187
GUARDIAN'S MATE,Jennifer Ashley,E-Book Fiction,12,4.7,326.0,7.99,9780698196254,Berkley,2016-09-25,B0191X34OA
THE PROTECTOR,Jodi Ellen Malpas,E-Book Fiction,13,4.4,1269.0,2.99,9781455568208,Forever,2016-09-25,B018GWS45G
I AM MALALA,Malala Yousafzai with Christina Lamb,E-Book Nonfiction,2,4.6,8567.0,13.65,9780316322416,"Little, Brown",2016-09-18,0316322423
THE GIRL IN THE SPIDER'S WEB,David Lagercrantz,E-Book Fiction,14,4.1,17495.0,0.0,9780385354295,Knopf,2016-09-18,B00VGIKA6O
THE JEALOUS KIND,James Lee Burke,E-Book Fiction,15,4.4,1058.0,0.0,9781501107481,Simon & Schuster,2016-09-18,B01ES88BCI
ALWAYS A COWBOY,Linda Lael Miller,E-Book Fiction,9,4.6,536.0,6.99,9781460394137,HQN,2016-09-18,B01BBUQHAE
A SCOT IN THE DARK,Sarah MacLean,E-Book Fiction,10,4.4,759.0,6.99,9780062379443,Avon,2016-09-18,B0191FR6CY
FAST AND LOOSE,Fern Michaels,E-Book Fiction,7,4.6,1018.0,1.99,9781420140644,Zebra,2016-09-18,B0190HGU70
RUSHING WATERS,Danielle Steel,E-Book Fiction,2,4.6,2939.0,6.99,9780425285374,Delacorte,2016-09-18,B0190HN0FU
AMERICAN HEIRESS,Jeffrey Toobin,E-Book Nonfiction,10,4.4,643.0,0.0,9780385536721,Doubleday,2016-09-18,B01CRJ5SFS
KISS ME LIKE A STRANGER,Gene Wilder,E-Book Nonfiction,14,4.5,937.0,0.0,9781429909952,St. Martin's,2016-09-18,B00080916G
HILLARY'S AMERICA,Dinesh D'Souza,E-Book Nonfiction,13,4.7,2008.0,3.43,9781621575320,Regnery,2016-09-18,1621573478
ARMAGEDDON,Dick Morris and Eileen McGann,E-Book Nonfiction,11,4.4,1492.0,8.38,9781630060596,Humanix,2016-09-18,B01FCLLLDQ
THE KINGDOM OF SPEECH,Tom Wolfe,E-Book Nonfiction,9,4.5,412.0,9.79,9780316404648,"Little, Brown",2016-09-18,0316404632
NO GOD BUT ONE - ALLAH OR JESUS?,Nabeel Qureshi,E-Book Nonfiction,8,4.9,1508.0,0.0,9780310522560,Zondervan,2016-09-18,B01IAIZF6M
THE PACT,Jodi Picoult,E-Book Fiction,9,4.5,5366.0,6.99,9780061980244,HarperCollins,2016-09-11,B001KDQ4KQ
BULLSEYE,James Patterson and Michael Ledwidge,E-Book Fiction,11,4.6,3133.0,9.99,9780316284554,"Little, Brown",2016-09-11,B01A5VQTL2
RAVENOUS,M S Force,E-Book Fiction,12,4.8,527.0,4.99,9781942295518,HTJB,2016-09-11,B01HDNEFGQ
WILD EMBRACE,Nalini Singh,E-Book Fiction,14,4.7,540.0,11.99,9781101989722,Berkley,2016-09-11,B018RVBU7U
INSIDIOUS,Catherine Coulter,E-Book Fiction,15,4.5,2742.0,8.99,9781501150319,Gallery Books,2016-09-11,B01BT5YB8G
FIRST STAR I SEE TONIGHT,Susan Elizabeth Phillips,E-Book Fiction,1,4.6,1428.0,8.49,9780062405630,Morrow/HarperCollins,2016-09-11,B018QLY6QS
SUMMER ISLAND,Kristin Hannah,E-Book Fiction,3,4.5,6340.0,7.99,9780345459527,Ballantine,2016-09-11,B000FC1KKC
CRISIS OF CHARACTER,Gary J Byrne with Grant M Schmidt,E-Book Nonfiction,14,4.1,7485.0,15.99,9781455568888,Center Street,2016-09-11,1455568899
WITH EVERY BREATH,Maya Banks,E-Book Fiction,8,4.3,413.0,7.99,9780062410177,Avon,2016-09-11,B010LU8UZ0
TRUMP REVEALED,Michael Kranish and Marc Fisher,E-Book Nonfiction,3,4.4,480.0,11.99,9781501155789,Scribner,2016-09-11,1501156527
IN TRUMP WE TRUST,Ann Coulter,E-Book Nonfiction,5,4.7,894.0,0.0,9780735214477,Sentinel,2016-09-11,B01J1VMREU
THE PERFECT HORSE,Elizabeth Letts,E-Book Nonfiction,10,4.7,1536.0,10.46,9780345544810,Ballantine,2016-09-11,034554482X
KILLING ORDERS,Sara Paretsky,E-Book Fiction,15,4.4,310.0,9.99,9780062190819,Morrow,2016-09-04,B00655U5MW
PORCH LIGHTS,Dorothea Benton Frank,E-Book Fiction,13,4.6,1310.0,10.39,9780062194862,Morrow,2016-09-04,0062211765
THE BLESSING WAY,Tony Hillerman,E-Book Fiction,10,4.5,1769.0,10.99,9780061795206,HarperCollins,2016-09-04,B000FC10VQ
CURIOUS MINDS,Janet Evanovich and Phoef Sutton,E-Book Fiction,2,4.5,2187.0,0.0,9780553392692,Bantam,2016-09-04,B01I5HRFES
NEIGHBOR DEAREST,Penelope Ward,E-Book Fiction,7,4.6,1228.0,4.99,9781942215479,Penelope Ward,2016-09-04,B01KECD8FW
DAMAGED,Lisa Scottoline,E-Book Fiction,8,4.5,1016.0,8.99,9781250099631,St. Martin’s,2016-09-04,B01B1MWLHU
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,E-Book Nonfiction,14,4.7,18751.0,12.92,9780679645986,Spiegel & Grau,2016-09-04,0812993543
POWERHOUSE,James Andrew Miller,E-Book Nonfiction,15,4.3,300.0,18.99,9780062441393,Custom House/Morrow,2016-09-04,0062441388
IN THE SANCTUARY OF OUTCASTS,Neil White,E-Book Nonfiction,3,4.5,1011.0,9.29,9780061885075,HarperCollins,2016-09-04,0061351636
"THREE SISTERS, THREE QUEENS",Philippa Gregory,E-Book Fiction,8,4.4,3003.0,0.0,9781476758756,Touchstone,2016-08-28,B01CUN6KU8
REAPER'S FIRE,Joanna Wylde,E-Book Fiction,9,4.5,697.0,5.99,9781101988978,Berkley,2016-08-28,B016JPTGDQ
IT ENDS WITH US,Colleen Hoover,E-Book Fiction,14,4.7,57852.0,12.79,9781501110375,Atria,2016-08-28,1501110365
EVERY BEAT OF MY HEART,Bella Andre,E-Book Fiction,15,4.5,351.0,2.99,9781945253157,Oak Press,2016-08-28,B01JVEHJPO
ADNAN'S STORY,Rabia Chaudry,E-Book Nonfiction,13,4.7,701.0,0.0,9781250087119,St. Martin's,2016-08-28,B01GW1RZR6
THE MAKING OF DONALD TRUMP,David Cay Johnston,E-Book Nonfiction,15,4.6,1198.0,17.48,9781612196336,Melville House,2016-08-28,1612196322
CLOSE TO YOU,Kristen Pro,E-Book Fiction,6,4.5,445.0,6.99,9780062434784,Morrow/HarperCollins,2016-08-28,B01825C55M
BOSSMAN,Vi Keeland,E-Book Fiction,11,4.6,4013.0,3.99,9781942215462,Vi Keeland,2016-08-28,B01IMFDR9A
RANDOM ACTS,J A Jance,E-Book Fiction,4,4.6,1160.0,2.49,9780062499042,Witness Impulse,2016-08-28,B019MMUAXS
"A HOBBIT, A WARDROBE, AND A GREAT WAR",Joseph Loconte,E-Book Nonfiction,5,4.7,762.0,13.59,9780718021771,Thomas Nelson,2016-08-28,0718091450
GRACE AND POWER,Sally Bedell-Smith,E-Book Nonfiction,11,4.3,168.0,0.0,9781588364098,Random House,2016-08-28,B00026WUQ4
HER AGAIN,Michael Schulman,E-Book Nonfiction,3,4.0,393.0,0.0,9780062342867,Harper,2016-08-28,B01BMUGIRA
OUTLANDER,Diana Gabaldon,E-Book Fiction,2,4.7,39171.0,0.0,9780440335160,Dell,2016-08-28,B000GW8NVA
LIARS,Glenn Beck,E-Book Nonfiction,8,4.8,638.0,0.0,9781476798912,Threshold,2016-08-21,B01HTXJS26
THE HIDDEN BRAIN,Shankar Vedantam,E-Book Nonfiction,11,4.5,321.0,0.0,9781588369390,Spiegel & Grau,2016-08-21,B00355AR9Q
MODERN ROMANCE,Aziz Ansari with Eric Klinenberg,E-Book Nonfiction,2,4.4,2980.0,15.99,9780698179967,Penguin Press,2016-08-21,0143109251
DRAGONMARK,Sherrilyn Kenyon,E-Book Fiction,12,4.3,1346.0,8.99,9781250092410,St. Martin's,2016-08-21,B016I8G6XW
WASHINGTON'S SPIES,Alexander Rose,E-Book Nonfiction,10,4.6,1305.0,0.0,9780307418708,Random House,2016-08-21,B00GGBDWAW
EMPIRES OF THE SEA,Roger Crowley,E-Book Nonfiction,12,4.7,767.0,0.0,9781588367334,Random House,2016-08-21,B001DIH1XW
PRESTO!,Penn Jillette,E-Book Nonfiction,13,4.3,829.0,0.0,9781501139536,Simon & Schuster,2016-08-21,B01KIHHRMS
THE HYPNOTIST'S LOVE STORY,Liane Moriarty,E-Book Fiction,14,4.3,7999.0,9.99,9781101584989,Berkley,2016-08-21,B0074VTH2U
THE GIRLS,Emma Cline,E-Book Fiction,9,3.7,3288.0,0.0,9780812998610,Random House,2016-08-21,0812988027
CHASE,James Patterson with Michael Ledwidge,E-Book Fiction,7,4.5,1589.0,3.98,9780316361644,BookShots,2016-08-21,0316317179
DARK CAROUSEL,Christine Feehan,E-Book Fiction,6,4.8,1948.0,7.99,9780698197763,Berkley,2016-08-21,B01839Q512
SMOOTH OPERATOR,Stuart Woods and Parnell Hall,E-Book Fiction,3,4.5,1341.0,9.99,9780399185281,Putnam,2016-08-21,B01BD1SV5K
SWEET TOMORROWS,Debbie Macomber,E-Book Fiction,2,4.7,3231.0,5.99,9780553391848,Random House,2016-08-21,B017QLRN1Y
SWEPT AWAY,Ron Carr,E-Book Fiction,11,4.5,501.0,9.99,9781459294004,Mira,2016-08-14,B016UG7EJW
TAPPING THE BILLIONAIRE,Max Monroe,E-Book Fiction,12,4.6,2591.0,0.0,9780997540604,Max Monroe,2016-08-14,B01ERT16PW
THE GIRL WITH SEVEN NAMES,Hyeonseo Lee with David John,E-Book Nonfiction,14,4.7,9285.0,14.58,9780007554867,William Collins,2016-08-14,0007554850
THE LAST PUNISHER,Kevin Lacz and Lindsey Lacz,E-Book Nonfiction,12,4.8,1844.0,0.0,9781501127250,Threshold Editions,2016-08-14,B01JZSK5TS
BILL O'REILLY'S LEGENDS AND LIES: THE PATRIOTS,David Fisher,E-Book Nonfiction,11,4.7,2248.0,0.0,9781627797887,Holt,2016-08-14,B01D3E1NKK
AGONY AND ELOQUENCE,Daniel L Mallock,E-Book Nonfiction,7,4.3,84.0,25.37,9781634508322,Skyhorse,2016-08-14,163450528X
BEFORE THE FALL,Noah Hawley,E-Book Fiction,14,4.1,5833.0,9.99,9781455561803,Grand Central,2016-08-14,B0151YQUTE
DEADLY FATE,Heather Graham,E-Book Fiction,10,4.6,442.0,6.99,9781460395646,Mira,2016-08-14,B01B1IAAC2
THE ANGELS' SHARE,J R Ward,E-Book Fiction,8,4.7,1016.0,8.99,9780698193048,New American Library,2016-08-14,B0191X34KE
ILLUSION TOWN,Jayne Castle,E-Book Fiction,3,4.6,1276.0,6.99,9780698187429,Jove,2016-08-14,B0191X34MW
YOU'LL GROW OUT OF IT,Jessi Klein,E-Book Nonfiction,8,4.4,477.0,0.0,9781455531196,Grand Central,2016-08-07,B01G61ZN6W
THE FIELD OF FIGHT,Michael T Flynn and Michael Ledeen,E-Book Nonfiction,9,4.7,780.0,14.69,9781250106230,St. Martin's,2016-08-07,1250131626
DIE AGAIN,Tess Gerritsen,E-Book Fiction,5,4.6,3944.0,9.99,9780345543868,Ballantine,2016-08-07,B00JI4ZSDI
NIGHT AND DAY,Iris Johansen,E-Book Fiction,3,4.7,961.0,8.99,9781466887213,St. Martin's,2016-08-07,B01AGGSQ1C
